央视,#genre#
CCTV16,http://go.bkpcp.top/mg/cctv16
CCTV17,http://go.bkpcp.top/mg/cctv17

CCTV1,http://192.151.150.154/live/cctv1hd.m3u8
CCTV2,http://192.151.150.154/live/cctv2hd.m3u8
CCTV3,http://192.151.150.154/live/cctv3hd.m3u8
CCTV4,http://192.151.150.154/live/cctv4hd.m3u8
CCTV5,http://192.151.150.154/live/cctv5hd.m3u8
CCTV5+,http://192.151.150.154/live/cctv5p.m3u8
CCTV6,http://192.151.150.154/live/cctv6hd.m3u8
CCTV7,http://192.151.150.154/live/cctv7hd.m3u8
CCTV8,http://192.151.150.154/live/cctv8hd.m3u8
CCTV9,http://192.151.150.154/live/cctv9hd.m3u8
CCTV10,http://192.151.150.154/live/cctv10hd.m3u8
CCTV11,http://192.151.150.154/live/cctv11hd.m3u8
CCTV12,http://192.151.150.154/live/cctv12hd.m3u8
CCTV13,http://192.151.150.154/live/cctv13hd.m3u8
CCTV14,http://192.151.150.154/live/cctv14hd.m3u8
CCTV15,http://192.151.150.154/live/cctv15hd.m3u8
CCTV16,http://192.151.150.154/live/cctv16hd.m3u8
CCTV17,http://192.151.150.154/live/cctv17hd.m3u8

CCTV1,http://home.cola-service.com:51973/rtp/233.18.204.52:5140
CCTV2,http://home.cola-service.com:51973/rtp/233.18.204.68:5140
CCTV3,http://home.cola-service.com:51973/rtp/233.18.204.69:5140
CCTV4,http://home.cola-service.com:51973/rtp/233.18.204.70:5140
CCTV5,http://home.cola-service.com:51973/rtp/233.18.204.71:5140
CCTV5+,http://home.cola-service.com:51973/rtp/233.18.204.67:5140
CCTV6,http://home.cola-service.com:51973/rtp/233.18.204.72:5140
CCTV7,http://home.cola-service.com:51973/rtp/233.18.204.73:5140
CCTV8,http://home.cola-service.com:51973/rtp/233.18.204.74:5140
CCTV9,http://home.cola-service.com:51973/rtp/233.18.204.75:5140
CCTV10,http://home.cola-service.com:51973/rtp/233.18.204.76:5140
CCTV11,http://home.cola-service.com:51973/rtp/233.18.204.77:5140
CCTV12,http://home.cola-service.com:51973/rtp/233.18.204.78:5140
CCTV13,http://home.cola-service.com:51973/rtp/233.18.204.79:5140
CCTV14,http://home.cola-service.com:51973/rtp/233.18.204.80:5140
CCTV15,http://home.cola-service.com:51973/rtp/233.18.204.81:5140
CCTV16,http://home.cola-service.com:51973/rtp/233.18.204.82:5140
CCTV17,http://home.cola-service.com:51973/rtp/233.18.204.83:5140

CCTV1,http://www.frankgb.cn:4022/udp/239.49.8.19:9614
CCTV2,http://www.frankgb.cn:4022/udp/239.49.8.50:9802
CCTV3,http://www.frankgb.cn:4022/udp/239.49.8.74:8000
CCTV4,http://www.frankgb.cn:4022/udp/239.49.8.51:9806
CCTV5,http://www.frankgb.cn:4022/udp/239.49.8.75:8000
CCTV5+,http://www.frankgb.cn:4022/udp/239.49.8.18:9610
CCTV6,http://www.frankgb.cn:4022/udp/239.49.8.76:8000
CCTV7,http://www.frankgb.cn:4022/udp/239.49.0.126:8000
CCTV8,http://www.frankgb.cn:4022/udp/239.49.8.77:8000
CCTV9,http://www.frankgb.cn:4022/udp/239.49.8.53:9814
CCTV10,http://www.frankgb.cn:4022/udp/239.49.8.54:9818
CCTV11,http://www.frankgb.cn:4022/udp/239.49.0.127:8000
CCTV12,http://www.frankgb.cn:4022/udp/239.49.8.55:9822
CCTV13,http://www.frankgb.cn:4022/udp/239.49.8.109:8000
CCTV14,http://www.frankgb.cn:4022/udp/239.49.8.56:9826
CCTV15,http://www.frankgb.cn:4022/udp/239.49.0.128:8000
CCTV16,http://www.frankgb.cn:4022/udp/239.49.8.31:8000
CCTV17,http://www.frankgb.cn:4022/udp/239.49.8.52:9810

CCTV1,http://101.66.199.20:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,http://101.66.199.102:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,http://101.66.195.96:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://101.66.199.20:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://101.66.199.102:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://101.66.195.96:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3,http://101.66.199.20:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3,http://101.66.199.102:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3,http://101.66.195.96:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5,http://101.66.199.20:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5,http://101.66.199.102:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5,http://101.66.195.96:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6,http://101.66.199.20:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6,http://101.66.199.102:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6,http://101.66.195.96:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7,http://101.66.199.20:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7,http://101.66.199.102:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7,http://101.66.195.96:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV8,http://101.66.199.20:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV8,http://101.66.199.102:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV8,http://101.66.195.96:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9,http://101.66.199.20:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9,http://101.66.199.102:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9,http://101.66.195.96:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV10,http://101.66.199.20:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV10,http://101.66.199.102:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
